name,dob,country,nationalTeam,battingStyle,bowlingStyle
Jimmy Cameron,22-06-1923,Jamaica,West Indies,Right-hand bat,Off-break
Jimmy Cook,31-07-1953,South Africa,South Africa,Right-hand bat,Off-break
Jimmy Hansra,29-12-1984,India,Canada,Right-hand bat,Right-arm slow
Jimmy Kamande,12-12-1978,Kenya,Kenya,Right-hand bat,"Right-arm medium, Off-break"
Jimmy Maher,27-02-1974,Australia,Australia,Left-hand bat,Right-arm medium
Jimmy Matthews,03-04-1884,Australia,Australia,Right-hand bat,Leg-break
Jimmy Neesham,17-09-1990,New Zealand,New Zealand,Left-hand bat,Right-arm fast-medium
Jimmy Sinclair,16-10-1876,South Africa,South Africa,Right-hand bat,"Right-arm medium, Leg-break"
Jitendra Mukhiya,22-11-1992,Nepal,Nepal,Right-hand bat,Right-arm medium-fast
Jitendra Patel,26-11-1945,Uganda,Canada,Left-hand bat,Slow left-arm
JJ Ferris,21-05-1867,Australia,England,Left-hand bat,Left-arm slow-medium
Jo Angel,22-04-1968,Australia,Australia,Left-hand bat,Right-arm fast
Jock Cameron,05-07-1905,South Africa,South Africa,Right-hand bat,
Jock Edwards,27-05-1955,New Zealand,New Zealand,Right-hand bat,
Jock Hartley,15-11-1874,England,England,Right-hand bat,Leg-break
Joe Cox,28-06-1886,South Africa,South Africa,Right-hand bat,Right-arm medium
Joe Darling,21-11-1870,Australia,Australia,Left-hand bat,Unknown arm slow
Joe Denly,16-03-1986,England,England,Right-hand bat,Leg-break
Joe Gatting,25-11-1987,England,,Right-hand bat,Off-break
Joe Hardstaff,03-07-1911,England,England,Right-hand bat,Right-arm medium
Joe Hardstaff sr,09-11-1882,England,England,Right-hand bat,Right-arm fast-medium
Joe Humphries,19-05-1876,England,England,Right-hand bat,
Joe Partridge,09-12-1932,Zimbabwe,South Africa,Right-hand bat,Right-arm fast-medium
Joe Root,30-12-1990,England,England,Right-hand bat,Off-break
Joe Small,03-11-1892,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium-fast
Joe Solomon,26-08-1930,Guyana,West Indies,Right-hand bat,Leg-break
Joe Travers,10-01-1871,Australia,Australia,Left-hand bat,Slow left-arm
Joel Garner,16-12-1952,Barbados,West Indies,Right-hand bat,Right-arm fast
Joel Paris,11-12-1992,Australia,Australia,Left-hand bat,Left-arm fast-medium
Joey Benjamin,02-02-1961,St Kitts and Nevis,England,Right-hand bat,Right-arm medium-fast
Joey Carew,15-09-1937,Trinidad and Tobago,West Indies,Left-hand bat,"Right-arm medium, Off-break"
Jofra Archer,01-04-1995,Barbados,England,Right-hand bat,Right-arm fast-medium
Joginder Sharma,23-10-1983,India,India,Right-hand bat,Right-arm fast-medium
Johan Botha,02-05-1982,South Africa,South Africa,Right-hand bat,Off-break
Johan van der Wath,10-01-1978,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Johann Louw,12-04-1979,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Johanne Samarasekera,22-02-1968,Sri Lanka,United Arab Emirates,Right-hand bat,Right-arm medium-fast
Johannes Kotze,07-08-1879,South Africa,South Africa,Right-hand bat,Right-arm fast
John Beck,01-08-1934,New Zealand,New Zealand,Left-hand bat,Slow left-arm
John Benaud,11-05-1944,Australia,Australia,Right-hand bat,Right-arm medium
John Blain,04-01-1979,Scotland,Scotland,Right-hand bat,Right-arm medium-fast
John Bracewell,15-04-1958,New Zealand,New Zealand,Right-hand bat,Off-break
John Brown,20-08-1869,England,England,Right-hand bat,Leg-break
John Cameron,08-04-1914,Jamaica,West Indies,Right-hand bat,"Off-break, Leg-break googly"
John Childs,15-08-1951,England,England,Left-hand bat,Slow left-arm
John Cochran,15-07-1909,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
John Commins,19-02-1965,South Africa,South Africa,Right-hand bat,Right-arm medium
John Cottam,05-09-1867,Australia,Australia,Right-hand bat,Leg-break
John Crawley,21-09-1971,England,England,Right-hand bat,Right-arm medium
John Davison,09-05-1970,Canada,Canada,Right-hand bat,Off-break
John Dewes,11-10-1926,England,England,Left-hand bat,Right-arm medium
John Dyson,11-06-1954,Australia,Australia,Right-hand bat,Right-arm slow-medium
John Edrich,21-06-1937,England,England,Left-hand bat,Right-arm medium
John Emburey,20-08-1952,England,England,Right-hand bat,Off-break
John Evans,01-05-1889,England,England,Right-hand bat,Right-arm medium-fast
John Fulton Reid,03-03-1956,New Zealand,New Zealand,Left-hand bat,Leg-break
John Gleeson,14-03-1938,Australia,Australia,Right-hand bat,Leg-break googly
John Goddard,21-04-1919,Barbados,West Indies,Left-hand bat,"Right-arm medium, Off-break"
John Gunn,19-07-1876,England,England,Left-hand bat,"Left-arm medium, Slow left-arm"
John Guy,29-08-1934,New Zealand,New Zealand,Left-hand bat,Right-arm slow-medium
John Hampshire,10-02-1941,England,England,Right-hand bat,Leg-break
John Harry,01-08-1857,Australia,Australia,Right-hand bat,Off-break
John Hastings,04-11-1985,Australia,Australia,Right-hand bat,Right-arm fast-medium
John Hodges,11-08-1855,England,Australia,Left-hand bat,Left-arm fast-medium roundarm
John Holt,12-08-1923,Jamaica,West Indies,Right-hand bat,Off-break
John Inverarity,31-01-1944,Australia,Australia,Right-hand bat,Slow left-arm
John Jameson,30-06-1941,India,England,Right-hand bat,"Right-arm medium, Off-break"
John King,16-04-1871,England,England,Left-hand bat,Left-arm medium
John Lever,24-02-1949,England,England,Right-hand bat,Left-arm fast-medium
John Lyons,21-05-1863,Australia,Australia,Right-hand bat,Right-arm medium
John Maclean,27-04-1946,Australia,Australia,Right-hand bat,
John Maguire,15-09-1956,Australia,Australia,Right-hand bat,Right-arm fast-medium
John McIlwraith,07-09-1857,Australia,Australia,Right-hand bat,
John McLaren,22-12-1886,Australia,Australia,Right-hand bat,Right-arm fast
John Mooney,10-02-1982,Ireland,Ireland,Left-hand bat,Right-arm medium
John Morris,01-04-1964,England,England,Right-hand bat,Right-arm medium
John Morrison,27-08-1947,New Zealand,New Zealand,Right-hand bat,Slow left-arm
John Mortimore,14-05-1933,England,England,Right-hand bat,Off-break
John Murray,01-04-1935,England,England,Right-hand bat,Right-arm medium
John Nagenda,25-04-1938,Ruanda Urundi,,Right-hand bat,Right-arm fast-medium
John Nicolson,19-07-1899,South Africa,South Africa,Left-hand bat,Right-arm
John Parker,21-02-1951,New Zealand,New Zealand,Right-hand bat,Leg-break googly
John Price,22-07-1937,England,England,Left-hand bat,Right-arm fast-medium
John Reedman,09-10-1865,Australia,Australia,Right-hand bat,Right-arm medium
John Rennie,29-07-1970,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium-fast
John Richard Reid,03-06-1928,New Zealand,New Zealand,Right-hand bat,"Right-arm fast-medium, Off-break"
John Selby,01-07-1849,England,England,Right-hand bat,Right-arm medium
John Sharpe,09-12-1866,England,England,Right-hand bat,Right-arm fast-medium
John Shepherd,09-11-1943,Barbados,West Indies,Right-hand bat,Right-arm medium
John Shuter,09-02-1855,England,England,Right-hand bat,
John Snow,13-10-1941,England,England,Right-hand bat,Right-arm fast-medium
John Sparling,24-07-1938,New Zealand,New Zealand,Right-hand bat,Off-break
John Stephenson,14-03-1965,England,England,Right-hand bat,Right-arm medium
John Traicos,17-05-1947,Egypt,Zimbabwe,Right-hand bat,Off-break
John Trim,25-01-1915,Guyana,West Indies,Right-hand bat,Right-arm fast-medium
John Trumble,16-09-1863,Australia,Australia,Right-hand bat,Off-break
John Valentine,20-09-1954,Canada,Canada,Left-hand bat,Left-arm medium
John Vaughan,08-06-1945,Barbados,Canada,Right-hand bat,Right-arm medium-fast
John Waite,19-01-1930,South Africa,South Africa,Right-hand bat,
John Ward,11-03-1937,New Zealand,New Zealand,Right-hand bat,
John Warr,16-07-1927,England,England,Right-hand bat,Right-arm fast-medium
John Watkins,10-04-1923,South Africa,South Africa,Right-hand bat,Right-arm medium
John Wright,05-07-1954,New Zealand,New Zealand,Left-hand bat,Right-arm medium
Johnnie Clay,18-03-1898,Wales,England,Right-hand bat,"Right-arm fast-medium, Leg-break googly, Off-break"
Johnny Arnold,30-11-1907,England,England,Right-hand bat,Right-arm slow
Johnny Briggs,03-10-1862,England,England,Right-hand bat,Slow left-arm
Johnny Douglas,03-09-1882,England,England,Right-hand bat,Right-arm fast-medium
Johnny Hayes,11-01-1927,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Johnny Lindsay,08-09-1908,South Africa,South Africa,Right-hand bat,
Johnny Martin,28-07-1931,Australia,Australia,Left-hand bat,Chinaman
Johnny Taylor,10-10-1895,Australia,Australia,Right-hand bat,
Johnny Tyldesley,22-11-1873,England,England,Right-hand bat,
Johnny Wardle,08-01-1923,England,England,Left-hand bat,"Slow left-arm, Chinaman"
Johnson Charles,14-01-1989,St Lucia,West Indies,Right-hand bat,
Jon Agnew,04-04-1960,England,England,Right-hand bat,Right-arm fast
Jon Holland,29-05-1987,Australia,Australia,Right-hand bat,Slow left-arm
Jon Kent,07-05-1979,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Jon Lewis,26-08-1975,England,England,Right-hand bat,Right-arm medium-fast
Jonathan Bairstow,26-09-1989,England,England,Right-hand bat,Right-arm
Jonathan Fellows-Smith,03-02-1932,South Africa,South Africa,Right-hand bat,Right-arm medium
Jonathan Foo,11-09-1990,Guyana,Guyana,Right-hand bat,Off-break
Jonathan Millmow,22-09-1967,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Jonathan Trott,22-04-1981,South Africa,England,Right-hand bat,Right-arm medium
Jonty Rhodes,27-07-1969,South Africa,South Africa,Right-hand bat,Right-arm medium
Jos Buttler,08-09-1990,England,England,Right-hand bat,
Joseph Angara,08-11-1971,Kenya,Kenya,Right-hand bat,Right-arm medium-fast
Joseph Harris,16-08-1965,India,Canada,Right-hand bat,Off-break
Joseph Hunter,03-08-1855,England,England,Right-hand bat,
Joseph Vine,15-05-1875,England,England,Right-hand bat,Leg-break
Joseph Willoughby,07-11-1874,England,South Africa,Right-hand bat,Right-arm fast
Josephat Ababu,14-05-1980,Kenya,Kenya,Right-hand bat,Right-arm fast-medium
Josh Davey,03-08-1990,Scotland,Scotland,Right-hand bat,Right-arm medium
Josh Hazlewood,08-01-1991,Australia,Australia,Left-hand bat,Right-arm fast-medium
Joshua Cobb,17-08-1990,England,,Right-hand bat,Off-break
JP Duminy,14-04-1984,South Africa,South Africa,Left-hand bat,Off-break
JP Yadav,07-08-1974,India,India,Right-hand bat,Right-arm medium
Juan Theron,24-07-1985,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Jubair Hossain,12-09-1995,Bangladesh,Bangladesh,Right-hand bat,Leg-break
Julien Wiener,01-05-1955,Australia,Australia,Right-hand bat,Off-break
Junaid Khan,24-12-1989,Pakistan,Pakistan,Right-hand bat,Left-arm medium-fast
Junaid Siddique,30-10-1987,Bangladesh,Bangladesh,Left-hand bat,Off-break
Junaid Siddiqui,25-03-1985,Pakistan,Canada,Right-hand bat,Leg-break
Junaid Zia,11-12-1983,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Junior Murray,20-01-1968,Grenada,West Indies,Right-hand bat,
Justin Kemp,02-10-1977,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Justin Langer,21-11-1970,Australia,Australia,Left-hand bat,Right-arm medium
Justin Ontong,04-01-1980,South Africa,South Africa,Right-hand bat,"Off-break, Leg-break"
Justin Vaughan,30-08-1967,England,New Zealand,Left-hand bat,Right-arm medium
Kabir Ali,24-11-1980,England,England,Right-hand bat,Right-arm fast-medium
Kabir Khan,12-04-1974,Pakistan,Pakistan,Right-hand bat,Left-arm fast-medium
Kagiso Rabada,25-05-1995,South Africa,South Africa,Left-hand bat,Right-arm fast
Kalpesh Patel,18-07-1985,Kenya,Kenya,Right-hand bat,Right-arm medium
Kamran Akmal,13-01-1982,Pakistan,Pakistan,Right-hand bat,
Kamran Hussain,09-05-1977,Pakistan,Pakistan,Right-hand bat,Left-arm medium
Kane Richardson,12-02-1991,Australia,Australia,Right-hand bat,Right-arm medium-fast
Kane Williamson,08-08-1990,New Zealand,New Zealand,Right-hand bat,Off-break
Kanwar Rai Singh,24-02-1922,India,India,Right-hand bat,
Kapil Dev,06-01-1959,India,India,Right-hand bat,Right-arm fast-medium
Kapila Wijegunawardene,23-11-1964,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Karate Krishnachandran,24-08-1984,India,United Arab Emirates,Right-hand bat,Right-arm medium
Karim Sadiq,18-02-1984,Afghanistan,Afghanistan,Right-hand bat,Off-break
Karl Nunes,07-06-1894,Jamaica,West Indies,Left-hand bat,
Karl Whatham,27-08-1981,Australia,Canada,,
Karn Sharma,23-10-1987,India,India,Left-hand bat,Leg-break googly
Karsan Ghavri,28-02-1951,India,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Karun Jethi,19-12-1983,India,Canada,Right-hand bat,Off-break
Karun Nair,06-12-1991,India,India,Right-hand bat,Off-break
Kashif Raza,29-12-1979,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Kaushal Lokuarachchi,20-05-1982,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break
Kaushal Silva,27-05-1986,Sri Lanka,Sri Lanka,Right-hand bat,
Kaushalya Weeraratne,29-01-1981,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium-fast
Kaushik Amalean,07-04-1965,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
KC Ibrahim,26-01-1919,India,India,Right-hand bat,
KC Karan,10-10-1991,Nepal,Nepal,Right-hand bat,Right-arm fast-medium
Kedar Jadhav,26-03-1985,India,India,Right-hand bat,Off-break
Keegan Meth,08-02-1988,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Keerthi Ranasinghe,04-07-1962,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium
Keith Andrew,15-12-1929,England,England,Right-hand bat,Leg-break
Keith Arthurton,21-02-1965,St Kitts and Nevis,West Indies,Left-hand bat,Slow left-arm
Keith Boyce,11-10-1943,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Keith Dabengwa,17-08-1980,Zimbabwe,Zimbabwe,Left-hand bat,Slow left-arm
Keith Fletcher,20-05-1944,England,England,Right-hand bat,Leg-break
Keith Miller,28-11-1919,Australia,Australia,Right-hand bat,Right-arm fast
Keith Rigg,21-05-1906,Australia,Australia,Right-hand bat,
Keith Semple,21-08-1970,Guyana,West Indies,Right-hand bat,Right-arm medium
Keith Slater,12-03-1936,Australia,Australia,Right-hand bat,"Right-arm fast-medium, Off-break"
Keith Stackpole,10-07-1940,Australia,Australia,Right-hand bat,Leg-break
Keith Thomson,26-02-1941,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Keki Tarapore,17-12-1910,India,India,Right-hand bat,Slow left-arm
Kelly Seymour,05-06-1936,South Africa,South Africa,Right-hand bat,Off-break
Kemar Roach,30-06-1988,Barbados,West Indies,Right-hand bat,Right-arm fast
Ken Archer,17-01-1928,Australia,Australia,Right-hand bat,Off-break
Ken Barrington,24-11-1930,England,England,Right-hand bat,Leg-break
Ken Cranston,20-10-1917,England,England,Right-hand bat,Right-arm medium
Ken Eastwood,23-11-1935,Australia,Australia,Left-hand bat,Chinaman
Ken Farnes,08-07-1911,England,England,Right-hand bat,Right-arm fast
Ken Funston,03-12-1925,South Africa,South Africa,Right-hand bat,
Ken Higgs,14-01-1937,England,England,Left-hand bat,"Right-arm fast-medium, Right-arm medium"
Ken Hough,24-10-1928,Australia,New Zealand,Right-hand bat,Right-arm medium-fast
Ken James,12-03-1904,New Zealand,New Zealand,Right-hand bat,
Ken Mackay,24-10-1925,Australia,Australia,Left-hand bat,Right-arm medium
Ken MacLeay,02-04-1959,England,Australia,Right-hand bat,Right-arm medium
Ken Meuleman,05-09-1923,Australia,Australia,Right-hand bat,Leg-break
Ken Palmer,22-04-1937,England,England,Right-hand bat,Right-arm fast-medium
Ken Rutherford,26-10-1965,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Ken Shuttleworth,13-11-1944,England,England,Right-hand bat,Right-arm fast
Ken Taylor,21-08-1935,England,England,Right-hand bat,"Right-arm medium, Leg-break"
Ken Viljoen,14-05-1910,South Africa,South Africa,Right-hand bat,Right-arm
Ken Wadsworth,30-11-1946,New Zealand,New Zealand,Right-hand bat,Right-arm slow-medium
Ken Wishart,28-11-1908,England,West Indies,Left-hand bat,
Kenia Jayantilal,13-01-1948,India,India,Right-hand bat,Off-break
Kennedy Otieno,11-03-1972,Kenya,Kenya,Right-hand bat,
Kenneth Hutchings,07-12-1882,England,England,Right-hand bat,Right-arm fast
Kenneth Kamyuka,05-12-1981,Uganda,Canada,Right-hand bat,Right-arm fast-medium
Kenneth Rickards,22-08-1923,Jamaica,West Indies,Right-hand bat,Leg-break
Kenneth Walter,05-11-1939,South Africa,South Africa,Right-hand bat,Right-arm fast
Kenneth Weekes,24-01-1912,United States of America,West Indies,Left-hand bat,Left-arm
Kenny Benjamin,08-04-1967,Antigua and barbuda,West Indies,Right-hand bat,Right-arm fast
Kenny Burn,17-09-1862,Australia,Australia,Right-hand bat,Right-arm medium
Kenny Carroll,22-03-1983,Ireland,Ireland,Right-hand bat,Chinaman
Kepler Wessels,14-09-1957,South Africa,South Africa,Left-hand bat,"Right-arm medium, Off-break"
Kerry Jeremy,06-02-1980,Antigua and barbuda,West Indies,Right-hand bat,Right-arm fast-medium
Kerry O'Keeffe,25-11-1949,Australia,Australia,Right-hand bat,Leg-break googly
Kerry Walmsley,23-08-1973,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Kevin Arnott,08-03-1961,Zimbabwe,Zimbabwe,Right-hand bat,
Kevin Curran,07-09-1959,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Kevin Duers,30-06-1960,Zambia,Zimbabwe,Right-hand bat,Right-arm medium-fast
Kevin Hurdle,30-12-1976,Bermuda,Bermuda,Right-hand bat,Right-arm fast
Kevin O'Brien,04-03-1984,Ireland,Ireland,Right-hand bat,Right-arm medium-fast
Kevin Sandher,16-07-1980,Canada,Canada,Right-hand bat,Slow left-arm
Kevin Wright,27-12-1953,Australia,Australia,Right-hand bat,
Kevon Cooper,02-02-1989,Trinidad and Tobago,,Right-hand bat,Right-arm medium
Khaled Mahmud,26-07-1971,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Khaled Mashud,08-02-1976,Bangladesh,Bangladesh,Right-hand bat,
Khalid Hasan,14-07-1937,India,Pakistan,Right-hand bat,Leg-break googly
Khalid Khan,07-02-1971,Pakistan,Hong Kong,Right-hand bat,Right-arm medium-fast
Khalid Latif,04-11-1985,Pakistan,Pakistan,Right-hand bat,Off-break
Khalid Wazir,27-04-1936,India,Pakistan,Right-hand bat,Right-arm fast-medium
Khaliq Dad,01-01-1984,Afghanistan,Afghanistan,Right-hand bat,Right-arm fast-medium
Khan Mohammad,01-01-1928,India,Pakistan,Right-hand bat,Right-arm fast-medium
Khanderao Rangnekar,27-06-1917,India,India,Left-hand bat,Right-arm medium
Khershed Meherhomji,09-08-1911,India,India,Right-hand bat,
Khokhan Sen,31-05-1926,India,India,Right-hand bat,
Khurram Chauhan,22-02-1980,Pakistan,Canada,Right-hand bat,Right-arm fast-medium
Khurram Khan,21-06-1971,Pakistan,United Arab Emirates,Left-hand bat,Slow left-arm
Khurram Manzoor,10-06-1986,Pakistan,Pakistan,Right-hand bat,Off-break
Kieran Noema-Barnett,04-06-1987,New Zealand,,Left-hand bat,Right-arm medium
Kieran Powell,06-03-1990,St Kitts and Nevis,West Indies,Left-hand bat,Right-arm medium
Kieron Pollard,12-05-1987,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
Kim Barnett,17-07-1960,England,England,Right-hand bat,"Right-arm medium, Leg-break"
Kim Elgie,06-03-1933,South Africa,South Africa,Right-hand bat,Slow left-arm
Kim Hughes,26-01-1954,Australia,Australia,Right-hand bat,Right-arm medium
Kiran More,04-09-1962,India,India,Right-hand bat,
Kirk Edwards,03-11-1984,Barbados,West Indies,Right-hand bat,Off-break
Kirti Azad,02-01-1959,India,India,Right-hand bat,Off-break
Kithuruwan Vithanage,26-02-1991,Sri Lanka,Sri Lanka,Left-hand bat,Leg-break
Klaas-Jan van Noortwijk,10-07-1970,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Kosala Kulasekara,15-07-1985,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Kosala Kuruppuarachchi,01-11-1964,Sri Lanka,Sri Lanka,Right-hand bat,Left-arm fast-medium
Kraigg Brathwaite,01-12-1992,Barbados,West Indies,Right-hand bat,Off-break
Kripal Singh,06-08-1933,India,India,Right-hand bat,Off-break
Krishmar Santokie,20-12-1984,Jamaica,West Indies,Left-hand bat,Left-arm medium
Krishnamachari Srikkanth,21-12-1959,India,India,Right-hand bat,Right-arm medium
Kruger van Wyk,07-02-1980,South Africa,New Zealand,Right-hand bat,
KS Duleepsinhji,13-06-1905,India,England,Right-hand bat,Leg-break
KS Indrajitsinhji,15-06-1937,India,India,Right-hand bat,
KS Ranjitsinhji,10-09-1872,India,England,Right-hand bat,Right-arm slow
Kuldeep Yadav,14-12-1994,India,India,Left-hand bat,Chinaman
Kumar Dharmasena,24-04-1971,Sri Lanka,Sri Lanka,Right-hand bat,"Right-arm medium, Off-break"
Kumar Sangakkara,27-10-1977,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Kusal Perera,17-08-1990,Sri Lanka,Sri Lanka,Left-hand bat,
Kwame Tucker,28-09-1976,Bermuda,Bermuda,Right-hand bat,
Kyle Abbott,18-06-1987,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Kyle Coetzer,14-04-1984,Scotland,Scotland,Right-hand bat,Right-arm medium-fast
Kyle Hodsoll,24-11-1988,Bermuda,Bermuda,Right-hand bat,Right-arm medium-fast
Kyle Jarvis,16-02-1989,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Kyle McCallan,27-08-1975,Ireland,Ireland,Right-hand bat,Off-break
Kyle Mills,15-03-1979,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Ladha Ramji,10-02-1900,India,India,Right-hand bat,Right-arm fast
Lahiru Thirimanne,08-09-1989,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium-fast
Lakshmipathy Balaji,27-09-1981,India,India,Right-hand bat,Right-arm fast-medium
Lala Amarnath,11-09-1911,India,India,Right-hand bat,Right-arm medium
Lalchand Rajput,18-12-1961,India,India,Right-hand bat,"Right-arm medium, Off-break"
Lalith Kaluperuma,25-06-1949,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Lalithamana Fernando,27-12-1962,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Lall Singh,16-12-1909,Malaysia,India,Right-hand bat,Right-arm slow-medium
Lameck Onyango,22-09-1973,Kenya,Kenya,Right-hand bat,Right-arm medium
Lance Cairns,10-10-1949,New Zealand,New Zealand,Right-hand bat,Right-arm medium-fast
Lance Gibbs,29-09-1934,Guyana,West Indies,Right-hand bat,Off-break
Lance Hamilton,05-04-1973,New Zealand,New Zealand,Right-hand bat,Left-arm fast-medium
Lance Klusener,04-09-1971,South Africa,South Africa,Left-hand bat,Right-arm fast-medium
Lance Pierre,05-06-1921,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast-medium
Lanka de Silva,29-07-1975,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Larry Gomes,13-07-1953,Trinidad and Tobago,West Indies,Left-hand bat,"Right-arm medium, Off-break"
Lasith Malinga,04-09-1983,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast
Laurie Fishlock,02-01-1907,England,England,Left-hand bat,Slow left-arm
Laurie Mayne,23-01-1942,Australia,Australia,Left-hand bat,Right-arm fast-medium
Laurie Nash,02-05-1910,Australia,Australia,Right-hand bat,Right-arm fast
Laurie Williams,12-12-1968,Jamaica,West Indies,Right-hand bat,Right-arm medium
Lawrence Rowe,08-01-1949,Jamaica,West Indies,Right-hand bat,Left-arm fast-medium
Lawrie Miller,31-03-1923,New Zealand,New Zealand,Left-hand bat,Left-arm slow-medium
Laxman Sivaramakrishnan,31-12-1965,India,India,Right-hand bat,Leg-break googly
Laxmi Ratan Shukla,06-05-1981,India,India,Right-hand bat,Right-arm medium
Learie Constantine,21-09-1901,Trinidad and Tobago,West Indies,Right-hand bat,"Right-arm fast, Right-arm medium"
Ledger Hill,26-07-1871,England,England,Right-hand bat,"Right-arm fast-medium, Ru"
Lee Germon,04-11-1968,New Zealand,New Zealand,Right-hand bat,Leg-break
Lee Irvine,09-03-1944,South Africa,South Africa,Left-hand bat,Right-arm medium
Leland Hone,30-01-1853,Ireland,England,Right-hand bat,
Len Baichan,12-05-1946,Guyana,West Indies,Left-hand bat,Right-arm medium
Len Braund,18-10-1875,England,England,Right-hand bat,Leg-break
Len Butterfield,29-08-1913,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Len Coldwell,10-01-1933,England,England,Right-hand bat,Right-arm fast-medium
Len Darling,14-08-1909,Australia,Australia,Left-hand bat,Right-arm medium
Len Hopwood,30-10-1903,England,England,Right-hand bat,Left-arm medium
Len Hutton,23-06-1916,England,England,Right-hand bat,Leg-break
Len Johnson,18-03-1919,Australia,Australia,Right-hand bat,Right-arm fast-medium
Len Maddocks,24-05-1926,Australia,Australia,Right-hand bat,
Len Pascoe,13-02-1950,Australia,Australia,Right-hand bat,Right-arm fast
Len Richmond,23-06-1890,England,England,Right-hand bat,Leg-break googly
Len Tuckett,19-04-1885,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Len Wilkinson,05-11-1916,England,England,Right-hand bat,Leg-break
Lendl Simmons,25-01-1985,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium-fast
Lennie Louw,19-06-1959,South Africa,Namibia,Right-hand bat,"Left-arm fast-medium, Slow left-arm"
Lennox Brown,24-11-1910,South Africa,South Africa,Right-hand bat,"Right-arm fast-medium, Leg-break googly"
Lennox Cush,12-12-1974,Guyana,Guyana,Right-hand bat,Off-break
Leo O'Brien,02-07-1907,Australia,Australia,Left-hand bat,Right-arm medium
Leon Garrick,11-11-1976,Jamaica,West Indies,Right-hand bat,Right-arm medium
Leon Johnson,08-08-1987,Guyana,West Indies,Left-hand bat,Leg-break
Leon Romero,29-12-1974,United States of America,United States of America,Right-hand bat,Right-arm medium
Leonard Moon,09-02-1878,England,England,Right-hand bat,
Les Ames,03-12-1905,England,England,Right-hand bat,Leg-break
Les Favell,06-10-1929,Australia,Australia,Right-hand bat,Right-arm medium
Les Jackson,05-04-1921,England,England,Right-hand bat,Right-arm fast
Les Joslin,13-12-1947,Australia,Australia,Left-hand bat,Left-arm medium
Les Taylor,25-10-1953,England,England,Right-hand bat,Right-arm fast-medium
Les Townsend,08-06-1903,England,England,Right-hand bat,"Right-arm medium, Off-break"
Les Watt,17-09-1924,New Zealand,New Zealand,Right-hand bat,
Lesley Stokkers,01-11-1987,Netherlands,Netherlands,Right-hand bat,Off-break
Leslie Gay,24-03-1871,England,England,Right-hand bat,
Leslie Hylton,29-03-1905,Jamaica,West Indies,Right-hand bat,Right-arm fast
Leslie Walcott,18-01-1894,Barbados,West Indies,Right-hand bat,Off-break
Leslie Wight,28-05-1929,Guyana,West Indies,Right-hand bat,
Lester King,27-02-1939,Jamaica,West Indies,Right-hand bat,Right-arm fast
Lewis Gregory,24-05-1992,England,,Right-hand bat,Right-arm medium
Liam Dawson,01-03-1990,England,England,Right-hand bat,Slow left-arm
Liam Plunkett,06-04-1985,England,England,Right-hand bat,Right-arm fast-medium
Liaqat Ali,21-05-1955,Pakistan,Pakistan,Right-hand bat,Left-arm medium-fast
